names,center_x,center_y,cluster_no,cell_type,fov
2787399200005100020-BLA_NF11-BLA,1364.34184879162,222.648606055984,11,N_Lhx6,BLA_NF11-BLA
2787399200006100015-BLA_NF11-BLA,1619.73927975089,168.328862125455,1,N_Slc30a3,BLA_NF11-BLA
2787399200006100022-BLA_NF11-BLA,1656.57533105538,190.839941859002,14,N_Sept4/Crym,BLA_NF11-BLA
2787399200006100023-BLA_NF11-BLA,1689.9105920948,185.077844307129,1,N_Slc30a3,BLA_NF11-BLA
2787399200006100024-BLA_NF11-BLA,1571.07363651187,188.140754454362,11,N_Lhx6,BLA_NF11-BLA
2787399200006100025-BLA_NF11-BLA,1671.5898839504,189.724594312042,13,N_Sst,BLA_NF11-BLA
2787399200006100031-BLA_NF11-BLA,1703.87797503122,195.704807999354,1,N_Slc30a3,BLA_NF11-BLA
2787399200006100033-BLA_NF11-BLA,1730.15339009857,198.586084765949,1,N_Slc30a3,BLA_NF11-BLA
2787399200006100036-BLA_NF11-BLA,1600.14934770323,201.03283208516,14,N_Sept4/Crym,BLA_NF11-BLA
2787399200006100038-BLA_NF11-BLA,1604.81659382744,208.540011517529,14,N_Sept4/Crym,BLA_NF11-BLA
2787399200006100039-BLA_NF11-BLA,1752.94887528755,208.666930934227,13,N_Sst,BLA_NF11-BLA
2787399200006100041-BLA_NF11-BLA,1668.25635701504,211.493959037095,14,N_Sept4/Crym,BLA_NF11-BLA
2787399200006100044-BLA_NF11-BLA,1616.88415046278,215.662992637092,4,N_Arhgap25,BLA_NF11-BLA
2787399200006100045-BLA_NF11-BLA,1581.54143916842,217.44934583986,14,N_Sept4/Crym,BLA_NF11-BLA
2787399200006100046-BLA_NF11-BLA,1699.73879166716,216.609447738859,1,N_Slc30a3,BLA_NF11-BLA
2787399200006100050-BLA_NF11-BLA,1569.59758075167,220.196259326793,14,N_Sept4/Crym,BLA_NF11-BLA
2787399200006100051-BLA_NF11-BLA,1743.66512078391,222.90480983006,1,N_Slc30a3,BLA_NF11-BLA
2787399200006100052-BLA_NF11-BLA,1677.65313866858,227.541410160911,14,N_Sept4/Crym,BLA_NF11-BLA
2787399200006100081-BLA_NF11-BLA,1684.5608495474,211.140368118753,1,N_Slc30a3,BLA_NF11-BLA
2787399200006100110-BLA_NF11-BLA,1669.83420553974,214.952516766307,14,N_Sept4/Crym,BLA_NF11-BLA
2787399200006100114-BLA_NF11-BLA,1577.80970890343,220.728730815332,14,N_Sept4/Crym,BLA_NF11-BLA
2787399200007100005-BLA_NF11-BLA,1957.21900954444,166.531896348381,13,N_Sst,BLA_NF11-BLA
2787399200007100006-BLA_NF11-BLA,1980.11678077533,166.575726389919,4,N_Arhgap25,BLA_NF11-BLA
2787399200007100008-BLA_NF11-BLA,1925.94025572035,167.791655515505,11,N_Lhx6,BLA_NF11-BLA
2787399200007100013-BLA_NF11-BLA,1897.12763961655,171.078506883588,4,N_Arhgap25,BLA_NF11-BLA
2787399200007100020-BLA_NF11-BLA,1964.23698736495,178.719342732678,4,N_Arhgap25,BLA_NF11-BLA
2787399200007100029-BLA_NF11-BLA,1976.84943191552,185.043207647474,4,N_Arhgap25,BLA_NF11-BLA
2787399200007100032-BLA_NF11-BLA,1940.82114371184,186.697560803127,4,N_Arhgap25,BLA_NF11-BLA
2787399200007100033-BLA_NF11-BLA,1926.19476370328,187.998850229131,4,N_Arhgap25,BLA_NF11-BLA
2787399200007100034-BLA_NF11-BLA,1891.59848196784,189.274093822941,11,N_Lhx6,BLA_NF11-BLA
2787399200007100035-BLA_NF11-BLA,1906.04796878135,190.196033248296,4,N_Arhgap25,BLA_NF11-BLA
2787399200007100036-BLA_NF11-BLA,1856.42847260943,191.437960654601,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200007100037-BLA_NF11-BLA,1990.10586642942,194.471828383971,1,N_Slc30a3,BLA_NF11-BLA
2787399200007100039-BLA_NF11-BLA,1964.64745716267,194.516742407898,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200007100043-BLA_NF11-BLA,1939.28789497196,199.058108979747,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200007100045-BLA_NF11-BLA,1927.47487442304,202.399942560869,4,N_Arhgap25,BLA_NF11-BLA
2787399200007100046-BLA_NF11-BLA,1980.74308392996,199.584316695146,4,N_Arhgap25,BLA_NF11-BLA
2787399200007100052-BLA_NF11-BLA,1835.10983075879,210.794628417337,1,N_Slc30a3,BLA_NF11-BLA
2787399200007100054-BLA_NF11-BLA,1919.80667688321,211.857619584642,4,N_Arhgap25,BLA_NF11-BLA
2787399200007100055-BLA_NF11-BLA,1821.10387512772,211.878490276921,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200007100056-BLA_NF11-BLA,1859.83346660121,211.566989215452,4,N_Arhgap25,BLA_NF11-BLA
2787399200007100058-BLA_NF11-BLA,1979.21524796277,209.65321437388,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200007100063-BLA_NF11-BLA,1893.49839523023,217.673034410772,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200007100067-BLA_NF11-BLA,1956.66382112225,220.091852617246,4,N_Arhgap25,BLA_NF11-BLA
2787399200007100070-BLA_NF11-BLA,1866.77570002185,225.092895143948,4,N_Arhgap25,BLA_NF11-BLA
2787399200007100072-BLA_NF11-BLA,1841.35740932384,225.783868602685,4,N_Arhgap25,BLA_NF11-BLA
2787399200007100078-BLA_NF11-BLA,1756.3379977211,226.760554044553,1,N_Slc30a3,BLA_NF11-BLA
2787399200007100107-BLA_NF11-BLA,1928.46144681487,177.223354587007,4,N_Arhgap25,BLA_NF11-BLA
2787399200007100113-BLA_NF11-BLA,1853.94283201066,197.446281333016,4,N_Arhgap25,BLA_NF11-BLA
2787399200007100114-BLA_NF11-BLA,1981.88635982098,198.352848702667,4,N_Arhgap25,BLA_NF11-BLA
2787399200007100118-BLA_NF11-BLA,1845.61767893174,210.343674368603,4,N_Arhgap25,BLA_NF11-BLA
2787399200007100120-BLA_NF11-BLA,1803.03207317399,220.632891312433,4,N_Arhgap25,BLA_NF11-BLA
2787399200007100122-BLA_NF11-BLA,1787.99246620675,229.571963009554,4,N_Arhgap25,BLA_NF11-BLA
2787399200007100131-BLA_NF11-BLA,1928.17283242967,181.199329201286,4,N_Arhgap25,BLA_NF11-BLA
2787399200007100134-BLA_NF11-BLA,1918.44401841091,190.818375730032,4,N_Arhgap25,BLA_NF11-BLA
2787399200007100137-BLA_NF11-BLA,1999.84913143182,191.467415811502,13,N_Sst,BLA_NF11-BLA
2787399200007100138-BLA_NF11-BLA,1971.99155224166,190.876038943823,4,N_Arhgap25,BLA_NF11-BLA
2787399200007100139-BLA_NF11-BLA,1986.44387721272,196.912805601009,4,N_Arhgap25,BLA_NF11-BLA
2787399200007100149-BLA_NF11-BLA,1931.35672031574,207.959639177843,4,N_Arhgap25,BLA_NF11-BLA
2787399200007100150-BLA_NF11-BLA,1983.73406730281,209.581209825748,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200007200020-BLA_NF11-BLA,1927.48547571487,180.532951989001,4,N_Arhgap25,BLA_NF11-BLA
2787399200007200043-BLA_NF11-BLA,1905.38630188899,211.717999793445,4,N_Arhgap25,BLA_NF11-BLA
2787399200007200082-BLA_NF11-BLA,1869.70014959482,175.202044999159,4,N_Arhgap25,BLA_NF11-BLA
2787399200008100005-BLA_NF11-BLA,2037.62087510522,168.444267732562,4,N_Arhgap25,BLA_NF11-BLA
2787399200008100021-BLA_NF11-BLA,2233.65675425114,168.917316096489,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200008100029-BLA_NF11-BLA,2046.21713937534,178.22369929625,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200008100034-BLA_NF11-BLA,2104.84449875774,178.718346206906,4,N_Arhgap25,BLA_NF11-BLA
2787399200008100037-BLA_NF11-BLA,2159.30683421849,179.949988720706,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200008100038-BLA_NF11-BLA,2043.39762498522,180.86012824748,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200008100040-BLA_NF11-BLA,2061.72935126462,186.750122818302,4,N_Arhgap25,BLA_NF11-BLA
2787399200008100042-BLA_NF11-BLA,2075.34046739609,181.904673068262,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200008100044-BLA_NF11-BLA,2013.51926143081,186.658866878503,4,N_Arhgap25,BLA_NF11-BLA
2787399200008100045-BLA_NF11-BLA,2002.73283129077,184.185977395792,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200008100047-BLA_NF11-BLA,2091.0786913476,188.502030629247,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200008100050-BLA_NF11-BLA,2149.69623110221,188.447792805469,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200008100052-BLA_NF11-BLA,2039.73750575706,191.941299347853,4,N_Arhgap25,BLA_NF11-BLA
2787399200008100057-BLA_NF11-BLA,2077.30522781688,196.887304467142,4,N_Arhgap25,BLA_NF11-BLA
2787399200008100059-BLA_NF11-BLA,2159.24904273528,195.643708782436,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200008100065-BLA_NF11-BLA,2007.90945420522,199.655356718825,1,N_Slc30a3,BLA_NF11-BLA
2787399200008100066-BLA_NF11-BLA,2032.26791275351,201.398800236917,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200008100067-BLA_NF11-BLA,2238.1953627409,202.435111255689,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200008100068-BLA_NF11-BLA,2207.15394206365,201.061028725551,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200008100071-BLA_NF11-BLA,2161.69588193197,207.947009228567,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200008100072-BLA_NF11-BLA,2051.08429090243,207.1894822497,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200008100074-BLA_NF11-BLA,2191.91897561599,211.796055403548,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200008100081-BLA_NF11-BLA,2029.59476180633,224.486881109923,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200008100082-BLA_NF11-BLA,2095.03256065283,224.082430095534,4,N_Arhgap25,BLA_NF11-BLA
2787399200008100085-BLA_NF11-BLA,2152.57458287426,222.99419135107,4,N_Arhgap25,BLA_NF11-BLA
2787399200008100086-BLA_NF11-BLA,1999.38062901176,222.405322045213,4,N_Arhgap25,BLA_NF11-BLA
2787399200008100087-BLA_NF11-BLA,2011.87436053182,227.945464087199,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200008100090-BLA_NF11-BLA,2194.51597954558,223.893913639662,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200008100119-BLA_NF11-BLA,2005.70600722317,179.735383102008,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200008100140-BLA_NF11-BLA,2217.01297793061,204.694209779379,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200008100151-BLA_NF11-BLA,2081.81976105401,225.193206773249,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200008100156-BLA_NF11-BLA,2040.88218386664,223.058634339433,4,N_Arhgap25,BLA_NF11-BLA
2787399200008100168-BLA_NF11-BLA,2013.58352949797,231.255074474764,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200008100185-BLA_NF11-BLA,2154.38343326083,196.744671121779,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200008100200-BLA_NF11-BLA,2070.49751782966,213.275760799104,4,N_Arhgap25,BLA_NF11-BLA
2787399200008100208-BLA_NF11-BLA,2186.23551948823,224.184654311462,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200008200071-BLA_NF11-BLA,2154.84178346861,195.815027112709,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200008200103-BLA_NF11-BLA,2040.48373916919,188.272641410965,4,N_Arhgap25,BLA_NF11-BLA
2787399200009100030-BLA_NF11-BLA,2262.15080551482,187.943632198309,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200009100032-BLA_NF11-BLA,2473.43545709388,194.74770015918,7,N_Tac1,BLA_NF11-BLA
2787399200009100035-BLA_NF11-BLA,2364.68430039468,194.55126386614,6,N_Penk,BLA_NF11-BLA
2787399200009100045-BLA_NF11-BLA,2358.4742923698,208.698774854076,6,N_Penk,BLA_NF11-BLA
2787399200009100047-BLA_NF11-BLA,2269.9772695531,213.277608070637,13,N_Sst,BLA_NF11-BLA
2787399200009100052-BLA_NF11-BLA,2342.56957713111,221.303874723795,7,N_Tac1,BLA_NF11-BLA
2787399200009100056-BLA_NF11-BLA,2401.09635070231,221.971011296674,6,N_Penk,BLA_NF11-BLA
2787399200009100060-BLA_NF11-BLA,2258.42864069838,226.266294888696,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200009100083-BLA_NF11-BLA,2307.87859484235,180.740046869723,13,N_Sst,BLA_NF11-BLA
2787399200009100090-BLA_NF11-BLA,2282.24844425091,209.715157468608,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200009100116-BLA_NF11-BLA,2348.46119623759,216.601836023378,7,N_Tac1,BLA_NF11-BLA
2787399200009100117-BLA_NF11-BLA,2338.45081213977,223.422227260883,6,N_Penk,BLA_NF11-BLA
2787399200010100021-BLA_NF11-BLA,2697.81988808705,182.166434926272,6,N_Penk,BLA_NF11-BLA
2787399200010100023-BLA_NF11-BLA,2521.78256634922,185.393912995038,7,N_Tac1,BLA_NF11-BLA
2787399200010100025-BLA_NF11-BLA,2683.05501951645,189.738520105097,6,N_Penk,BLA_NF11-BLA
2787399200010100026-BLA_NF11-BLA,2725.32656962691,190.340970474995,7,N_Tac1,BLA_NF11-BLA
2787399200010100029-BLA_NF11-BLA,2704.45153710051,195.555819905584,11,N_Lhx6,BLA_NF11-BLA
2787399200010100031-BLA_NF11-BLA,2504.7197568009,194.291642460231,11,N_Lhx6,BLA_NF11-BLA
2787399200010100033-BLA_NF11-BLA,2593.73338336502,200.044059882704,7,N_Tac1,BLA_NF11-BLA
2787399200010100035-BLA_NF11-BLA,2540.02718959341,200.425512883102,6,N_Penk,BLA_NF11-BLA
2787399200010100036-BLA_NF11-BLA,2687.15128846176,204.077535177935,7,N_Tac1,BLA_NF11-BLA
2787399200010100037-BLA_NF11-BLA,2488.32609291795,206.055836292838,7,N_Tac1,BLA_NF11-BLA
2787399200010100040-BLA_NF11-BLA,2527.56070677502,208.520388757162,7,N_Tac1,BLA_NF11-BLA
2787399200010100041-BLA_NF11-BLA,2521.44418529144,208.741322400239,7,N_Tac1,BLA_NF11-BLA
2787399200010100044-BLA_NF11-BLA,2510.08315904324,208.574264220102,7,N_Tac1,BLA_NF11-BLA
2787399200010100046-BLA_NF11-BLA,2499.5981153766,213.90210909898,7,N_Tac1,BLA_NF11-BLA
2787399200010100047-BLA_NF11-BLA,2611.80341654396,219.705432815955,7,N_Tac1,BLA_NF11-BLA
2787399200010100048-BLA_NF11-BLA,2575.85012260022,218.473353699198,6,N_Penk,BLA_NF11-BLA
2787399200010100049-BLA_NF11-BLA,2535.2468286029,215.414515589186,7,N_Tac1,BLA_NF11-BLA
2787399200010100051-BLA_NF11-BLA,2690.66392242484,216.841522605043,7,N_Tac1,BLA_NF11-BLA
2787399200010100052-BLA_NF11-BLA,2491.98956611918,224.548344343863,6,N_Penk,BLA_NF11-BLA
2787399200010100054-BLA_NF11-BLA,2714.14329730054,222.738542090451,6,N_Penk,BLA_NF11-BLA
2787399200010100056-BLA_NF11-BLA,2521.78739848348,222.471003913773,7,N_Tac1,BLA_NF11-BLA
2787399200010100063-BLA_NF11-BLA,2590.16037551648,233.195621458066,13,N_Sst,BLA_NF11-BLA
2787399200010100082-BLA_NF11-BLA,2660.73565436622,233.04384779926,6,N_Penk,BLA_NF11-BLA
2787399200010100105-BLA_NF11-BLA,2676.22322984765,187.944588475037,6,N_Penk,BLA_NF11-BLA
2787399200010100111-BLA_NF11-BLA,2506.97598932203,220.220561747458,6,N_Penk,BLA_NF11-BLA
2787399200010100122-BLA_NF11-BLA,2521.80408073897,195.903363861174,7,N_Tac1,BLA_NF11-BLA
2787399200011100012-BLA_NF11-BLA,2794.76139392895,180.878126338107,6,N_Penk,BLA_NF11-BLA
2787399200011100022-BLA_NF11-BLA,2891.6616815843,182.893571622264,7,N_Tac1,BLA_NF11-BLA
2787399200011100023-BLA_NF11-BLA,2773.45866767276,185.540408312899,6,N_Penk,BLA_NF11-BLA
2787399200011100027-BLA_NF11-BLA,2956.67820043439,183.924834422252,7,N_Tac1,BLA_NF11-BLA
2787399200011100028-BLA_NF11-BLA,2820.15849461231,192.739059749433,7,N_Tac1,BLA_NF11-BLA
2787399200011100029-BLA_NF11-BLA,2946.16947463659,188.81666725182,6,N_Penk,BLA_NF11-BLA
2787399200011100032-BLA_NF11-BLA,2740.33186640065,192.330751260829,6,N_Penk,BLA_NF11-BLA
2787399200011100035-BLA_NF11-BLA,2843.00549680295,193.087902793578,11,N_Lhx6,BLA_NF11-BLA
2787399200011100037-BLA_NF11-BLA,2937.88932437268,196.676235750387,7,N_Tac1,BLA_NF11-BLA
2787399200011100038-BLA_NF11-BLA,2899.43611816101,193.132040573557,6,N_Penk,BLA_NF11-BLA
2787399200011100042-BLA_NF11-BLA,2849.74979673918,201.546170851795,7,N_Tac1,BLA_NF11-BLA
2787399200011100043-BLA_NF11-BLA,2768.52670506206,202.740594497608,7,N_Tac1,BLA_NF11-BLA
2787399200011100047-BLA_NF11-BLA,2811.28111707855,207.587541713951,6,N_Penk,BLA_NF11-BLA
2787399200011100048-BLA_NF11-BLA,2898.92620127865,209.387776875058,7,N_Tac1,BLA_NF11-BLA
2787399200011100049-BLA_NF11-BLA,2874.57667365296,206.505445237799,7,N_Tac1,BLA_NF11-BLA
2787399200011100050-BLA_NF11-BLA,2739.05668617724,210.495195081697,7,N_Tac1,BLA_NF11-BLA
2787399200011100053-BLA_NF11-BLA,2824.86522128732,213.762247015464,7,N_Tac1,BLA_NF11-BLA
2787399200011100054-BLA_NF11-BLA,2886.06470870188,214.947260261525,7,N_Tac1,BLA_NF11-BLA
2787399200011100055-BLA_NF11-BLA,2950.25461245463,214.692088865932,6,N_Penk,BLA_NF11-BLA
2787399200011100057-BLA_NF11-BLA,2837.35839240753,214.420566540741,6,N_Penk,BLA_NF11-BLA
2787399200011100058-BLA_NF11-BLA,2786.34444049263,218.393842077636,7,N_Tac1,BLA_NF11-BLA
2787399200011100059-BLA_NF11-BLA,2868.72993524451,218.558075600605,7,N_Tac1,BLA_NF11-BLA
2787399200011100060-BLA_NF11-BLA,2775.8419841819,221.616123287993,6,N_Penk,BLA_NF11-BLA
2787399200011100062-BLA_NF11-BLA,2856.18391239543,225.08719720734,7,N_Tac1,BLA_NF11-BLA
2787399200011100064-BLA_NF11-BLA,2939.95007003881,227.200967667927,6,N_Penk,BLA_NF11-BLA
2787399200011100065-BLA_NF11-BLA,2874.31551800146,229.495198904102,7,N_Tac1,BLA_NF11-BLA
2787399200011100107-BLA_NF11-BLA,2785.53381100564,210.436622931724,6,N_Penk,BLA_NF11-BLA
2787399200011100108-BLA_NF11-BLA,2911.06609423668,213.287574886435,7,N_Tac1,BLA_NF11-BLA
2787399200011100110-BLA_NF11-BLA,2846.53691748223,222.306407423019,7,N_Tac1,BLA_NF11-BLA
2787399200011100124-BLA_NF11-BLA,2826.93124518369,186.990674657353,7,N_Tac1,BLA_NF11-BLA
2787399200011100126-BLA_NF11-BLA,2884.96912891777,198.780619843094,7,N_Tac1,BLA_NF11-BLA
2787399200011200004-BLA_NF11-BLA,2775.63097610278,179.58748813402,6,N_Penk,BLA_NF11-BLA
2787399200011200034-BLA_NF11-BLA,2776.95282630296,209.315733175692,6,N_Penk,BLA_NF11-BLA
2787399200012100003-BLA_NF11-BLA,2990.49562682157,178.518619280328,7,N_Tac1,BLA_NF11-BLA
2787399200012100021-BLA_NF11-BLA,3053.77130418376,187.650435633198,7,N_Tac1,BLA_NF11-BLA
2787399200012100023-BLA_NF11-BLA,3152.56534184407,185.954528859705,7,N_Tac1,BLA_NF11-BLA
2787399200012100024-BLA_NF11-BLA,3023.57189166358,186.268287778047,7,N_Tac1,BLA_NF11-BLA
2787399200012100025-BLA_NF11-BLA,3049.28211384988,186.495024123858,7,N_Tac1,BLA_NF11-BLA
2787399200012100030-BLA_NF11-BLA,3006.39623670765,189.433668993859,7,N_Tac1,BLA_NF11-BLA
2787399200012100031-BLA_NF11-BLA,3187.43205911949,190.28215486693,7,N_Tac1,BLA_NF11-BLA
2787399200012100032-BLA_NF11-BLA,3108.48421236444,190.821330601475,7,N_Tac1,BLA_NF11-BLA
2787399200012100033-BLA_NF11-BLA,3101.18411966398,188.487612372106,7,N_Tac1,BLA_NF11-BLA
2787399200012100034-BLA_NF11-BLA,3116.8807071196,192.477270959187,7,N_Tac1,BLA_NF11-BLA
2787399200012100035-BLA_NF11-BLA,3090.15416162907,194.597547294623,6,N_Penk,BLA_NF11-BLA
2787399200012100036-BLA_NF11-BLA,2988.37264258191,199.324554603378,7,N_Tac1,BLA_NF11-BLA
2787399200012100038-BLA_NF11-BLA,3147.29449145621,201.204436608829,6,N_Penk,BLA_NF11-BLA
2787399200012100039-BLA_NF11-BLA,3032.1153720053,203.289928897406,7,N_Tac1,BLA_NF11-BLA
2787399200012100041-BLA_NF11-BLA,3087.64474296058,216.650532709896,7,N_Tac1,BLA_NF11-BLA
2787399200012100042-BLA_NF11-BLA,3164.46072190522,207.707046453658,6,N_Penk,BLA_NF11-BLA
2787399200012100043-BLA_NF11-BLA,3075.16447696114,209.348349416514,6,N_Penk,BLA_NF11-BLA
2787399200012100047-BLA_NF11-BLA,3107.6308405062,214.137330913745,7,N_Tac1,BLA_NF11-BLA
2787399200012100048-BLA_NF11-BLA,3022.00445001187,212.002624472442,7,N_Tac1,BLA_NF11-BLA
2787399200012100049-BLA_NF11-BLA,3140.143394843,215.58078215876,6,N_Penk,BLA_NF11-BLA
2787399200012100052-BLA_NF11-BLA,3047.15507649535,221.881847576361,7,N_Tac1,BLA_NF11-BLA
2787399200012100054-BLA_NF11-BLA,3170.46792982719,224.414354454885,7,N_Tac1,BLA_NF11-BLA
2787399200012100056-BLA_NF11-BLA,3031.39701792901,223.985631979763,7,N_Tac1,BLA_NF11-BLA
2787399200012100087-BLA_NF11-BLA,3044.67750471753,198.610450882578,11,N_Lhx6,BLA_NF11-BLA
2787399200012100092-BLA_NF11-BLA,3126.05245561668,200.184850247745,7,N_Tac1,BLA_NF11-BLA
2787399200012100097-BLA_NF11-BLA,3102.2225920161,207.703328051573,7,N_Tac1,BLA_NF11-BLA
2787399200012100098-BLA_NF11-BLA,3110.62906164499,214.394338483284,7,N_Tac1,BLA_NF11-BLA
2787399200012100103-BLA_NF11-BLA,3101.78365476522,219.77923655146,7,N_Tac1,BLA_NF11-BLA
2787399200012100106-BLA_NF11-BLA,3129.83715668162,225.298254621624,6,N_Penk,BLA_NF11-BLA
2787399200012100130-BLA_NF11-BLA,3107.86000523924,212.659245536756,7,N_Tac1,BLA_NF11-BLA
2787399200012100131-BLA_NF11-BLA,3169.81532029089,220.008582964449,7,N_Tac1,BLA_NF11-BLA
2787399200012100133-BLA_NF11-BLA,3173.87195006322,228.976295263344,7,N_Tac1,BLA_NF11-BLA
2787399200012200029-BLA_NF11-BLA,3216.76793350616,211.428797923218,7,N_Tac1,BLA_NF11-BLA
2787399200013100012-BLA_NF11-BLA,3331.13506752993,-16.8043684018818,13,N_Sst,BLA_NF11-BLA
2787399200013100015-BLA_NF11-BLA,3311.91828679686,-15.2198115520579,8,N_Nptx1/Itm2a,BLA_NF11-BLA
2787399200013100017-BLA_NF11-BLA,3345.368144136,-5.23502945393217,13,N_Sst,BLA_NF11-BLA
2787399200013100027-BLA_NF11-BLA,3404.47717042848,14.9485655024941,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100037-BLA_NF11-BLA,3435.47408060766,36.6809235361055,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100042-BLA_NF11-BLA,3394.22860991814,42.5340134179785,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100044-BLA_NF11-BLA,3436.44948950559,51.6675636206584,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100047-BLA_NF11-BLA,3362.0327273123,53.7250209982523,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100049-BLA_NF11-BLA,3351.17469511733,58.0838418001075,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100051-BLA_NF11-BLA,3392.45688746631,59.4428464071824,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100053-BLA_NF11-BLA,3358.07144959126,65.4907521794286,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100056-BLA_NF11-BLA,3311.06133712606,68.2148621693988,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100057-BLA_NF11-BLA,3383.08943199583,71.7908438572503,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100060-BLA_NF11-BLA,3368.46609824298,76.6377456772256,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100062-BLA_NF11-BLA,3319.70819649953,78.9093512813848,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100066-BLA_NF11-BLA,3448.86883750913,81.9460042288713,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100067-BLA_NF11-BLA,3348.12590424716,84.2791418818804,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100068-BLA_NF11-BLA,3306.66033489257,87.086343973748,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100070-BLA_NF11-BLA,3337.96232527324,83.1270141671944,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100072-BLA_NF11-BLA,3436.02995075929,90.2916186036485,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100074-BLA_NF11-BLA,3324.00170759619,92.7788518812202,11,N_Lhx6,BLA_NF11-BLA
2787399200013100075-BLA_NF11-BLA,3365.29076153178,92.3762965568026,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100077-BLA_NF11-BLA,3387.99724341173,96.78981755276,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100084-BLA_NF11-BLA,3336.88306714977,99.2354173389025,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100096-BLA_NF11-BLA,3327.54644789363,126.20960115024,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100099-BLA_NF11-BLA,3340.88188125464,126.23624898547,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100100-BLA_NF11-BLA,3296.83269984793,125.934380152209,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100102-BLA_NF11-BLA,3395.40482779822,138.301741927756,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100107-BLA_NF11-BLA,3379.01816466014,138.192173623544,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100108-BLA_NF11-BLA,3333.49103216642,143.660078010829,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100109-BLA_NF11-BLA,3424.04875966394,147.993841006234,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100113-BLA_NF11-BLA,3440.97698662886,151.814532919768,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100119-BLA_NF11-BLA,3440.70930525851,167.999668606531,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100129-BLA_NF11-BLA,3330.00192516928,179.084266932415,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100139-BLA_NF11-BLA,3305.58466791045,181.134750918128,1,N_Slc30a3,BLA_NF11-BLA
2787399200013100145-BLA_NF11-BLA,3353.9246745868,187.465652207639,1,N_Slc30a3,BLA_NF11-BLA
